frame,delta_s,pose,foot_x,foot_y,live_numbers,stage,tap_damage_total,arc_progress
49,0.03333,attack,343.769,590.947,3,7,2,0.314
50,0.03333,attack,343.433,575.451,3,7,2,0.496
51,0.03333,attack,343.265,567.703,3,7,2,0.812
52,0.03333,attack,343.244,566.734,5,7,4,0.923
53,0.03333,attack,343.244,566.734,5,7,4,0.939
54,0.03333,attack,343.314,569.936,5,7,4,0.982
55,0.03333,attack,343.522,579.541,5,7,4,0.980
56,0.03333,idle,344.000,608.460,5,7,4,0.245
57,0.03333,attack,343.670,586.381,5,7,4,0.301
58,0.03333,attack,343.190,564.244,5,7,4,0.469
59,0.03333,attack,342.950,553.175,5,7,4,0.798
60,0.03333,attack,342.920,551.792,6,7,5,0.917
61,0.03333,attack,342.920,551.792,6,7,5,0.934
62,0.03333,attack,343.019,556.366,6,7,5,0.981
63,0.03333,attack,343.317,570.087,6,7,5,0.979
64,0.03333,attack,343.813,592.956,6,7,5,0.979
65,0.03333,idle,344.000,601.600,6,7,5,0.000
66,0.03333,idle,344.000,601.600,6,7,5,0.000
67,0.03333,idle,344.000,601.600,6,7,5,0.000
68,0.03333,idle,344.000,601.600,3,7,5,0.000
69,0.03333,idle,344.000,601.600,3,7,5,0.000
70,0.03333,idle,344.000,601.600,3,7,5,0.000
71,0.03333,idle,344.000,601.600,3,7,5,0.000
72,0.03333,idle,344.000,601.600,3,7,5,0.000
73,0.03333,idle,344.000,601.600,3,7,5,0.000
74,0.03333,idle,344.000,601.600,3,7,5,0.000
75,0.03333,idle,344.000,601.600,3,7,5,0.000
76,0.03333,idle,344.000,601.600,1,7,5,0.000
77,0.03333,idle,344.000,601.600,1,7,5,0.000
78,0.03333,idle,344.000,601.600,1,7,5,0.000
79,0.03333,idle,344.000,601.600,1,7,5,0.000
80,0.03333,idle,344.000,601.600,1,7,5,0.000
81,0.03333,idle,344.000,601.600,1,7,5,0.000
82,0.03333,idle,344.000,601.600,1,7,5,0.000
83,0.03333,idle,344.000,601.600,1,7,5,0.000
84,0.03333,idle,344.000,601.600,0,7,5,0.000
85,0.03333,idle,344.000,601.600,0,7,5,0.000
86,0.03333,idle,344.000,601.600,0,7,5,0.000
87,0.03333,idle,344.000,601.600,0,7,5,0.000
88,0.03333,idle,344.000,601.600,0,7,5,0.000
89,0.03333,idle,344.000,601.600,1,7,5,0.000
90,0.03333,idle,344.000,601.600,1,7,5,0.000
91,0.03333,idle,344.000,601.600,1,7,5,0.000
92,0.03333,idle,344.000,601.600,1,7,5,0.000
93,0.03333,idle,344.000,601.600,1,7,5,0.000
94,0.03333,idle,344.000,601.600,1,7,5,0.000
95,0.03333,idle,344.000,601.600,1,7,5,0.000
96,0.03333,idle,344.000,601.600,1,7,5,0.000
97,0.03333,idle,344.000,601.600,1,7,5,0.000
98,0.03333,idle,344.000,601.600,1,7,5,0.000
99,0.03333,idle,344.000,601.600,1,7,5,0.000
100,0.03333,idle,344.000,608.460,1,7,5,0.245
101,0.03333,attack,343.769,590.947,1,7,5,0.314
102,0.03333,attack,343.433,575.451,1,7,5,0.496
103,0.03333,attack,343.265,567.703,1,7,5,0.812
104,0.03333,attack,343.244,566.734,3,7,7,0.923
105,0.03333,attack,343.244,566.734,3,7,7,0.939
106,0.03333,attack,343.314,569.936,3,7,7,0.982
107,0.03333,attack,343.522,579.541,3,7,7,0.980
108,0.03333,idle,344.000,608.460,3,7,7,0.245
109,0.03333,attack,343.670,586.381,3,7,7,0.301
110,0.03333,attack,343.190,564.244,3,7,7,0.469
111,0.03333,attack,342.950,553.175,3,7,7,0.798
112,0.03333,attack,342.920,551.792,5,7,9,0.917
113,0.03333,attack,342.920,551.792,4,7,9,0.934
114,0.03333,attack,343.019,556.366,4,7,9,0.981
115,0.03333,attack,343.317,570.087,4,7,9,0.979
116,0.03333,idle,344.000,608.460,4,7,9,0.245
117,0.03333,attack,343.769,590.947,4,7,9,0.314
118,0.03333,attack,343.433,575.451,4,7,9,0.496
119,0.03333,attack,343.265,567.703,4,7,9,0.812
120,0.03333,attack,343.244,566.734,6,7,11,0.923
121,0.03333,attack,343.244,566.734,6,7,11,0.939
122,0.03333,attack,343.314,569.936,6,7,11,0.982
123,0.03333,attack,343.522,579.541,6,7,11,0.980
124,0.03333,idle,344.000,608.460,6,8,11,0.245
125,0.03333,attack,343.670,586.381,6,8,11,0.301
126,0.03333,attack,343.190,564.244,6,8,11,0.469
127,0.03333,attack,342.950,553.175,6,8,11,0.798
128,0.03333,attack,342.920,551.792,5,8,12,0.917
129,0.03333,attack,342.920,551.792,5,8,12,0.934
130,0.03333,attack,343.019,556.366,5,8,12,0.981
131,0.03333,attack,343.317,570.087,5,8,12,0.979
132,0.03333,attack,343.813,592.956,5,8,12,0.979
133,0.03333,idle,344.000,601.600,5,8,12,0.000
134,0.03333,idle,344.000,601.600,5,8,12,0.000
135,0.03333,idle,344.000,601.600,5,8,12,0.000
136,0.03333,idle,344.000,601.600,3,8,12,0.000
137,0.03333,idle,344.000,601.600,3,8,12,0.000
138,0.03333,idle,344.000,601.600,3,8,12,0.000
139,0.03333,idle,344.000,601.600,3,8,12,0.000
140,0.03333,idle,344.000,601.600,3,8,12,0.000
141,0.03333,idle,344.000,601.600,3,8,12,0.000
142,0.03333,idle,344.000,601.600,3,8,12,0.000
143,0.03333,idle,344.000,601.600,3,8,12,0.000
144,0.03333,idle,344.000,608.460,1,8,12,0.243
145,0.03333,attack,343.769,590.947,1,8,12,0.308
146,0.03333,attack,343.433,575.451,1,8,12,0.480
147,0.03333,attack,343.265,567.703,1,8,12,0.781
148,0.03333,attack,343.244,566.734,3,8,14,0.978
149,0.03333,attack,343.244,566.734,3,8,14,0.975
150,0.03333,attack,343.314,569.936,3,8,14,0.955
151,0.03333,attack,343.522,579.541,3,8,14,0.959
152,0.03333,idle,344.000,608.460,2,8,14,0.245
153,0.03333,attack,343.769,591.016,2,8,14,0.307
154,0.03333,attack,343.433,575.620,2,8,14,0.478
155,0.03333,attack,343.265,567.923,2,8,14,0.777
156,0.03333,attack,343.244,566.960,4,8,16,0.970
157,0.03333,attack,343.244,566.960,4,8,16,0.971
158,0.03333,attack,343.314,570.141,4,8,16,0.960
159,0.03333,attack,343.522,579.684,4,8,16,0.964
160,0.03333,idle,344.000,608.460,4,8,16,0.245
161,0.03333,attack,343.769,591.016,4,8,16,0.307
162,0.03333,attack,343.433,575.620,4,8,16,0.478
163,0.03333,attack,343.265,567.923,4,8,16,0.777
164,0.03333,attack,343.244,566.960,6,8,18,0.970
165,0.03333,attack,343.244,566.960,6,8,18,0.971
166,0.03333,attack,343.314,570.141,6,8,18,0.960
167,0.03333,attack,343.522,579.684,6,8,18,0.964
168,0.03333,idle,344.000,608.460,6,8,18,0.245
169,0.03333,attack,343.769,591.016,6,8,18,0.307
170,0.03333,attack,343.433,575.620,6,8,18,0.478
171,0.03333,attack,343.265,567.923,6,8,18,0.777
172,0.03333,attack,343.244,566.960,6,8,20,0.970
173,0.03333,attack,343.244,566.960,6,8,20,0.971
174,0.03333,attack,343.314,570.141,6,8,20,0.960
175,0.03333,attack,343.522,579.684,6,8,20,0.964
176,0.03333,idle,344.000,608.460,6,8,20,0.245
177,0.03333,attack,343.670,586.480,6,8,20,0.294
178,0.03333,attack,343.190,564.486,6,8,20,0.450
179,0.03333,attack,342.950,553.490,6,8,20,0.761
180,0.03333,attack,342.920,552.115,6,8,22,0.968
181,0.03333,attack,342.920,552.115,6,8,22,0.969
182,0.03333,attack,343.019,556.659,6,8,22,0.958
183,0.03333,attack,343.317,570.291,6,8,22,0.962
184,0.03333,idle,344.000,608.460,6,8,22,0.245
185,0.03333,attack,343.769,591.016,7,8,22,0.307
186,0.03333,attack,343.433,575.620,7,8,22,0.478
187,0.03333,attack,343.265,567.923,7,8,22,0.776
188,0.03333,attack,343.244,566.960,7,8,24,0.971
189,0.03333,attack,343.244,566.960,7,8,24,0.971
190,0.03333,attack,343.314,570.141,7,8,24,0.957
191,0.03333,attack,343.522,579.684,7,8,24,0.961
192,0.03333,idle,344.000,608.460,7,8,24,0.245
193,0.03333,attack,343.670,586.480,7,8,24,0.294
194,0.03333,attack,343.190,564.486,7,8,24,0.450
195,0.03333,attack,342.950,553.490,7,8,24,0.761
196,0.03333,attack,342.920,552.115,7,8,26,0.968
197,0.03333,attack,342.920,552.115,7,8,26,0.969
198,0.03333,attack,343.019,556.659,7,8,26,0.958
199,0.03333,attack,343.317,570.291,7,8,26,0.962
200,0.03333,idle,344.000,608.460,7,8,26,0.245
201,0.03333,attack,343.769,591.016,7,8,26,0.307
202,0.03333,attack,343.433,575.620,7,8,26,0.478
203,0.03333,attack,343.265,567.923,7,8,26,0.777
204,0.03333,attack,343.244,566.960,7,8,28,0.970
205,0.03333,attack,343.244,566.960,7,8,28,0.971
206,0.03333,attack,343.314,570.141,7,8,28,0.960
207,0.03333,attack,343.522,579.684,7,8,28,0.964
208,0.03333,idle,344.000,608.460,7,8,28,0.245
209,0.03333,attack,343.670,586.480,6,8,28,0.294
210,0.03333,attack,343.190,564.486,6,8,28,0.450
211,0.03333,attack,342.950,553.490,6,8,28,0.761
212,0.03333,attack,342.920,552.115,5,8,29,0.968
213,0.03333,attack,342.920,552.115,5,8,29,0.969
214,0.03333,attack,343.019,556.659,5,8,29,0.958
215,0.03333,attack,343.317,570.291,5,8,29,0.962
216,0.03333,attack,343.813,593.012,5,8,29,0.967
217,0.03333,idle,344.000,601.600,5,8,29,0.000
218,0.03333,idle,344.000,601.600,5,8,29,0.000
219,0.03333,idle,344.000,601.600,5,8,29,0.000
220,0.03333,idle,344.000,601.600,3,8,29,0.000
221,0.03333,idle,344.000,601.600,3,8,29,0.000
222,0.03333,idle,344.000,601.600,3,8,29,0.000
223,0.03333,idle,344.000,601.600,3,8,29,0.000
224,0.03333,idle,344.000,601.600,3,8,29,0.000
225,0.03333,idle,344.000,601.600,3,8,29,0.000
226,0.03333,idle,344.000,601.600,3,8,29,0.000
227,0.03333,idle,344.000,601.600,3,8,29,0.000
228,0.03333,idle,344.000,601.600,1,8,29,0.000
229,0.03333,idle,344.000,601.600,1,8,29,0.000
230,0.03333,idle,344.000,601.600,2,8,29,0.000
231,0.03333,idle,344.000,601.600,2,8,29,0.000
232,0.03333,idle,344.000,601.600,2,8,29,0.000
233,0.03333,idle,344.000,601.600,2,8,29,0.000
234,0.03333,idle,344.000,601.600,2,8,29,0.000
235,0.03333,idle,344.000,601.600,2,8,29,0.000
236,0.03333,idle,344.000,601.600,1,8,29,0.000
237,0.03333,idle,344.000,601.600,1,8,29,0.000
238,0.03333,idle,344.000,601.600,1,8,29,0.000
239,0.03333,idle,344.000,601.600,1,8,29,0.000
240,0.03333,idle,344.000,601.600,1,8,29,0.000
241,0.03333,idle,344.000,601.600,1,8,29,0.000
242,0.03333,idle,344.000,601.600,1,8,29,0.000
243,0.03333,idle,344.000,601.600,1,8,29,0.000
244,0.03333,idle,344.000,601.600,1,8,29,0.000
245,0.03333,idle,344.000,601.600,1,8,29,0.000
246,0.03333,idle,344.000,601.600,1,8,29,0.000
247,0.03333,idle,344.000,601.600,1,8,29,0.000
248,0.03333,idle,344.000,601.600,1,8,29,0.000
249,0.03333,idle,344.000,601.600,1,8,29,0.000
250,0.03333,idle,344.000,601.600,1,8,29,0.000
251,0.03333,idle,344.000,601.600,1,8,29,0.000
252,0.03333,idle,344.000,601.600,1,8,29,0.000
253,0.03333,idle,344.000,601.600,1,8,29,0.000
254,0.03333,idle,344.000,601.600,0,8,29,0.000
255,0.03333,idle,344.000,601.600,0,8,29,0.000
256,0.03333,idle,344.000,601.600,0,8,29,0.000
257,0.03333,idle,344.000,601.600,0,8,29,0.000
258,0.03333,idle,344.000,601.600,0,8,29,0.000
259,0.03333,idle,344.000,601.600,0,8,29,0.000
260,0.03333,idle,344.000,601.600,0,8,29,0.000
261,0.03333,idle,344.000,601.600,0,8,29,0.000
262,0.03333,idle,344.000,601.600,0,8,29,0.000
263,0.03333,idle,344.000,601.600,0,8,29,0.000
264,0.03333,idle,344.000,601.600,0,8,29,0.000
265,0.03333,idle,344.000,601.600,0,8,29,0.000
266,0.03333,idle,344.000,601.600,0,8,29,0.000
267,0.03333,idle,344.000,601.600,0,8,29,0.000
268,0.03333,idle,344.000,601.600,0,8,29,0.000
269,0.03333,idle,344.000,601.600,0,8,29,0.000
