key,en
ui.prestige.entry.offline_claimed_utc,Offline Reward State
ui.prestige.entry.tutorial,Tutorial
world.oasis_frontier.name,Emerald Meadow
world.oasis_frontier.desc,Cross bright grassland ruins where blue crystals grow.
world.moonlit_dunes.name,Moonlit Wildwood
world.moonlit_dunes.desc,Walk a glowing forest under an endless moon.
world.ruins_of_the_sun_kingdom.name,Obsidian Citadel
world.ruins_of_the_sun_kingdom.desc,Climb a volcanic fortress lit by molten veins.
enemy.dune_raider.name,Leaf Fox
enemy.oasis_scarab.name,Pebble Crab
enemy.moon_jackal.name,Moon Jackal
enemy.star_wisp.name,Star Wisp
enemy.sun_guardian.name,Sun Guardian
enemy.ash_serpent.name,Ash Serpent
boss.sand_colossus.name,Sand Colossus
boss.caravan_breaker.name,Caravan Breaker
boss.oasis_ifrit.name,Oasis Ifrit
boss.lunar_sphinx.name,Lunar Sphinx
boss.night_djinn.name,Night Djinn
boss.eclipse_stalker.name,Eclipse Stalker
boss.gilded_manticore.name,Gilded Manticore
boss.sun_priest.name,Sun Priest
boss.phoenix_regent.name,Phoenix Regent
boss.sun_king.name,The Sun King
hero.dune_scout,Marksmanship Drills
hero.falconer,Falconry Training
hero.oasis_guard,Blade Drills
hero.scarab_knight,Heavy Strikes
hero.mirage_weaver,Wind Footwork
hero.djinn_binder,Rune Study
hero.sun_priestess,Fortune Study
hero.star_vizier,Moonlit Focus
hero.dune_scout.desc,Steadier aim on every shot; raises critical chance.
hero.oasis_guard.desc,Repetition on the training post turns close combat into stronger taps.
hero.sun_priestess.desc,Reading the ledgers improves gold and lasting skill power.
hero.falconer.desc,Time spent with the falcon raises the hero critical chance.
hero.scarab_knight.desc,Weighted practice that reinforces direct attacks.
hero.mirage_weaver.desc,Faster footing that amplifies everything the hero does.
hero.djinn_binder.desc,Study of old runes empowers attacks and shortens recovery.
hero.star_vizier.desc,Night practice bends skill time and fortune.
skill.sand_fury.desc,A burst of force behind every tap.
skill.sand_fury.effect,Tap damage x3
skill.falcon_storm.desc,The falcon dives more often while the storm lasts.
skill.falcon_storm.effect,Falcon attack rate x4
skill.golden_wind.desc,Enemy rewards are multiplied once when awarded.
skill.golden_wind.effect,Gold awards x2.5
skill.time_fracture.desc,Adds time to the current boss battle once.
skill.time_fracture.effect,Boss timer +10s once — maximum 60s
skill.ancestor_call.desc,Ancestors empower support-hero attacks.
skill.ancestor_call.effect,Support hero DPS x3
skill.critical_eclipse.desc,Critical strikes become likelier and more powerful.
skill.critical_eclipse.effect,Crit chance +40% — cap 95% — crit damage x2
ui.heroes.title,Hero Training
ui.heroes.buy_quantity,BUY QUANTITY
ui.heroes.current_dps,Current DPS
ui.heroes.next_gain,Next-level gain
ui.heroes.milestone_progress,Milestone %s / %s
ui.heroes.milestones_complete,All milestones reached
ui.heroes.hire,Hire
ui.heroes.level_up,Level Up
ui.heroes.cost,Cost %s gold
ui.skills.title,COMBAT SKILLS
ui.skills.duration,Duration
ui.skills.cooldown,Cooldown
ui.skills.active_remaining,Active seconds remaining
ui.skills.cooldown_remaining,Cooldown seconds remaining
ui.skills.activate,Activate
ui.level,Level
ui.unlock_stage,Unlock at stage %s
ui.state.locked,LOCKED
ui.state.ready,READY
ui.state.active,ACTIVE
ui.state.cooldown,COOLDOWN
ui.state.available_affordable,AVAILABLE — AFFORDABLE
ui.state.available_unaffordable,AVAILABLE — NOT AFFORDABLE
ui.role.melee,Melee
ui.role.ranged,Ranged
ui.role.magic,Magic
ui.role.support,Support
relic.sun_blade,Sun Blade
relic.falcon_feather,Falcon Feather
relic.gilded_scarab,Gilded Beetle
relic.oasis_charm,Grove Charm
relic.hourglass_shard,Hourglass Shard
relic.djinn_lamp,Spirit Lantern
relic.lion_seal,Lion Seal
relic.moon_dial,Moon Dial
relic.phoenix_ankh,Phoenix Sigil
relic.storm_eye,Storm Eye
relic.sultans_coin,Royal Coin
relic.map_of_stars,Map of Stars
relic.desert_wind,Wildwind
relic.ember_rune,Ember Rune
relic.merchant_scale,Merchant Scale
equipment.dune_knife.desc,A plain blade every traveller starts with.
equipment.sunsteel_sabre.desc,A sword grown around living wood.
equipment.ifrit_fang.desc,A crystal edge that splits the light.
equipment.blade_of_high_noon.desc,A legendary blade wrapped in steady flame.
equipment.wanderer_wrap.desc,A light hood for long roads.
equipment.scarab_circlet.desc,A circlet woven from evergreen leaves.
equipment.oracle_veil.desc,A veil that shimmers around hidden paths.
equipment.crown_of_stars.desc,A crown set with a midnight constellation.
equipment.traveler_robes.desc,Practical cloth for a long walk.
equipment.caravan_guard_mail.desc,Mail worn by steadfast gate guards.
equipment.stormweave_mantle.desc,A mantle woven with caught lightning.
equipment.sultans_regalia.desc,Regalia worthy of an ancient court.
equipment.dust_wisp.desc,A small orb humming with green light.
equipment.ember_halo.desc,A wand that trails warm sparks.
equipment.djinn_radiance.desc,A wand cut from a single violet stone.
equipment.solar_ascendance.desc,A legendary book that keeps its own light.
equipment.beetle_token.desc,A humble token polished by travel.
equipment.falcon_bell.desc,A silver bell your falcon answers to.
equipment.moon_fox_talisman.desc,A moonlit charm for a clever companion.
equipment.phoenix_signet.desc,A legendary signet of return and renewal.
enemy.dune_raider.name,Leaf Fox
enemy.dune_raider.desc,A quick woodland runner that darts between the stones.
enemy.oasis_scarab.name,Pebble Crab
enemy.oasis_scarab.desc,A rock-shelled crab that guards the meadow pools.
enemy.thorn_lizard.name,Sproutling
enemy.thorn_lizard.desc,A small plant creature with a stubborn leaf crown.
enemy.mirage_stalker.name,Acorn Brute
enemy.mirage_stalker.desc,A broad-fisted brute armoured in acorn shell.
enemy.night_howler.name,Mushroom Guard
enemy.night_howler.desc,A capped fighter that never lowers its shield.
enemy.dust_wraith.name,Pollen Wisp
enemy.dust_wraith.desc,A drifting light that scatters glowing pollen.
enemy.moon_moth.name,Frost Moth
enemy.moon_moth.desc,A pale flier whose wings leave a cold shimmer.
enemy.glass_serpent.name,Shard Serpent
enemy.glass_serpent.desc,A coiled serpent grown over with sharp crystal.
enemy.sunstone_sentinel.name,Rune Guardian
enemy.sunstone_sentinel.desc,A tall construct sealed with steady runes.
enemy.cursed_regalia.name,Smoke Wisp
enemy.cursed_regalia.desc,A restless coil of smoke with burning eyes.
enemy.ember_djinn_construct.name,Ember Imp
enemy.ember_djinn_construct.desc,A small fire spirit that never stops moving.
enemy.ossuary_warden.name,Obsidian Beetle
enemy.ossuary_warden.desc,A low beetle plated in dark volcanic glass.
boss.sandstorm_colossus.name,Ancient Treant
boss.sandstorm_colossus.desc,A wide forest guardian that slams with branch arms.
boss.lunar_glasswing.name,Crystal Wyrm
boss.lunar_glasswing.desc,A long coiled wyrm that sweeps the ground with crystal.
boss.ember_crown_construct.name,Clockwork Crown King
boss.ember_crown_construct.desc,A tall crowned machine with a cannon for a hand.
boss.vaultback_behemoth.name,Mushroom Monarch
boss.vaultback_behemoth.desc,A squat crowned monarch that punches with both fists.
hud.hero_dps,Hero DPS  %s
hud.enemy_unknown,Enemy
boss.visual.ancient_treant.name,Ancient Treant
boss.visual.whispering_marsh_hydra.name,Grove Hydra
boss.visual.storm_thunder_roc.name,Meadow Roc
boss.visual.coral_shell_titan.name,Stoneshell Titan
boss.visual.mushroom_monarch.name,Mushroom Monarch
boss.visual.crystal_cavern_wyrm.name,Crystal Wyrm
boss.visual.celestial_owl_guardian.name,Moonlit Owl Guardian
boss.visual.frost_tusk_mammoth.name,Frostmane Behemoth
boss.visual.magma_horn_beast.name,Magma Horn Beast
boss.visual.purple_fortress_boss.name,Fortress Warden
boss.visual.clockwork_crown_king.name,Clockwork Crown King
boss.visual.cosmic_star_knight.name,Obsidian Star Knight
hud.critical,CRITICAL!
